,episode,steps,meanepreward,meaneplen,#parallel_run
516,516,2688400,-1289.7459681186183,200.0,0
517,517,2693600,-1277.2842233021854,200.0,0
518,518,2698800,-1274.6737585606531,200.0,0
519,519,2704000,-1253.4808675063414,200.0,0
520,520,2709200,-1252.7182805435082,200.0,0
521,521,2714400,-1283.248593135398,200.0,0
522,522,2719600,-1266.1529423419695,200.0,0
523,523,2724800,-1254.0722268167642,200.0,0
524,524,2730000,-1251.450297560391,200.0,0
525,525,2735200,-1272.3285294851908,200.0,0
526,526,2740400,-1277.5538789855625,200.0,0
527,527,2745600,-1278.3649085926434,200.0,0
528,528,2750800,-1244.2469846334375,200.0,0
529,529,2756000,-1275.0143025541258,200.0,0
530,530,2761200,-1272.1085315246526,200.0,0
531,531,2766400,-1232.3810926119581,200.0,0
532,532,2771600,-1247.0263598211377,200.0,0
533,533,2776800,-1277.520550650833,200.0,0
534,534,2782000,-1261.8940794793803,200.0,0
535,535,2787200,-1277.1799458977841,200.0,0
536,536,2792400,-1277.1531369396605,200.0,0
537,537,2797600,-1267.811808480311,200.0,0
538,538,2802800,-1252.8596895917185,200.0,0
539,539,2808000,-1255.2314199253267,200.0,0
540,540,2813200,-1265.9342400079147,200.0,0
541,541,2818400,-1262.117634943142,200.0,0
542,542,2823600,-1262.1665549677405,200.0,0
543,543,2828800,-1279.3945618751704,200.0,0
544,544,2834000,-1275.741306236427,200.0,0
545,545,2839200,-1260.3371790553826,200.0,0
546,546,2844400,-1283.4586481224546,200.0,0
547,547,2849600,-1244.45118859106,200.0,0
548,548,2854800,-1250.6265775024162,200.0,0
549,549,2860000,-1260.2183056619078,200.0,0
550,550,2865200,-1271.3659030883007,200.0,0
551,551,2870400,-1229.598584540601,200.0,0
552,552,2875600,-1271.3834971599763,200.0,0
553,553,2880800,-1251.5378666443971,200.0,0
554,554,2886000,-1252.122635246934,200.0,0
555,555,2891200,-1228.4892957425186,200.0,0
556,556,2896400,-1259.6482963651558,200.0,0
557,557,2901600,-1274.344302035712,200.0,0
558,558,2906800,-1252.377154537293,200.0,0
559,559,2912000,-1278.1271060078639,200.0,0
560,560,2917200,-1288.8055247808686,200.0,0
561,561,2922400,-1255.7513164056677,200.0,0
562,562,2927600,-1266.404173147115,200.0,0
563,563,2932800,-1274.037045639775,200.0,0
564,564,2938000,-1248.7894019430094,200.0,0
565,565,2943200,-1285.5388834863695,200.0,0
566,566,2948400,-1285.6767907612973,200.0,0
567,567,2953600,-1257.4952557387676,200.0,0
568,568,2958800,-1276.00996578543,200.0,0
569,569,2964000,-1287.9326219130858,200.0,0
570,570,2969200,-1278.0608947910466,200.0,0
571,571,2974400,-1242.7812692715354,200.0,0
572,572,2979600,-1265.2399546544216,200.0,0
573,573,2984800,-1260.7354527525738,200.0,0
574,574,2990000,-1256.6770615159278,200.0,0
575,575,2995200,-1268.8489385650214,200.0,0
576,576,3000400,-1250.3080562260143,200.0,0
577,577,3005600,-1264.4383074512202,200.0,0
578,578,3010800,-1285.7707396229648,200.0,0
